subject_id	cm3_split	n_volumes	fd_mean	fd_median	fd_p95	fd_gt05_frac	fd_gt10_frac	fd_gt20_frac	dvars_mean	dvars_gt50med_frac	std_dvars_mean	n_missing_core	n_nonfinite_core	qc_status	std_dvars_gt50med_frac
sub-080	train	400.0	0.3417	0.3094	0.6892	0.1744	0.0051	0.0	56.93	0.0692	1.3893	0.0	0.0	COMPUTED	
sub-081	train	400.0	0.2525	0.2426	0.4688	0.0359	0.0	0.0	61.07	0.0256	1.457	0.0	0.0	COMPUTED	
sub-082	train	400.0	0.8313	0.6503	1.9414	0.6821	0.2462	0.0487	68.98	0.1051	1.204	0.0	0.0	COMPUTED	
sub-083	train	400.0	0.6054	0.5704	1.1315	0.6077	0.0923	0.0026	92.74	0.0667	1.3328	0.0	0.0	COMPUTED	
sub-084	train	400.0	0.5045	0.4452	1.0577	0.4282	0.059	0.0	66.4	0.0256	1.2349	0.0	0.0	COMPUTED	
sub-085	test	400.0	0.5903	0.5304	1.2243	0.5385	0.1103	0.0	83.96	0.1256	1.4101	0.0	0.0	COMPUTED	
sub-086	test	400.0	0.4949	0.4477	0.9733	0.4026	0.0436	0.0	61.8	0.0872	1.258	0.0	0.0	COMPUTED	
sub-087	test	400.0	0.6347	0.5013	1.7142	0.5	0.1462	0.0359	76.17	0.1103	1.3074	0.0	0.0	COMPUTED	
sub-088	train	400.0	0.2847	0.2679	0.5127	0.059	0.0	0.0	52.52	0.0641	1.2909	0.0	0.0	COMPUTED	
sub-089	train	400.0	1.2072	0.8195	3.1977	0.7615	0.3718	0.1179	102.79	0.141	1.3762	0.0	0.0	COMPUTED	
sub-090	train	400.0	0.4621	0.4101	0.8844	0.3718	0.0359	0.0	60.51	0.0026	1.3218	0.0	0.0	COMPUTED	
sub-091	test	400.0	0.265	0.2489	0.5035	0.0538	0.0	0.0	59.08	0.0615	1.4208	0.0	0.0	COMPUTED	
sub-092	train	400.0	0.5932	0.449	1.2777	0.4308	0.0846	0.0308	65.79	0.0615	1.2859	0.0	0.0	COMPUTED	
sub-093	train	400.0	0.5278	0.487	1.0454	0.4744	0.0615	0.0	70.99	0.1051	1.3809	0.0	0.0	COMPUTED	
sub-094	train	400.0	0.3056	0.2669	0.5393	0.0846	0.0103	0.0	56.41	0.1154	1.3038	0.0	0.0	COMPUTED	
sub-096	train	400.0	0.2717	0.256	0.4865	0.0462	0.0026	0.0	60.46	0.0	1.5095	0.0	0.0	COMPUTED	
sub-097	train	400.0	0.2843	0.2567	0.5374	0.0692	0.0026	0.0	61.91	0.0487	1.4834	0.0	0.0	COMPUTED	
sub-098	val	400.0	0.3521	0.3278	0.6409	0.1718	0.0	0.0	61.05	0.0897	1.3975	0.0	0.0	COMPUTED	
sub-099	train	400.0	0.509	0.4654	0.9747	0.4333	0.0487	0.0	62.41	0.041	1.2847	0.0	0.0	COMPUTED	
sub-100	train	400.0	0.2671	0.2466	0.4791	0.041	0.0026	0.0	54.41	0.0282	1.2668	0.0	0.0	COMPUTED	
sub-101	train	400.0	0.2872	0.2741	0.5205	0.0667	0.0	0.0	59.14	0.0103	1.3399	0.0	0.0	COMPUTED	
sub-102	val	400.0	0.3105	0.2719	0.6297	0.1051	0.0051	0.0	60.73	0.0128	1.2692	0.0	0.0	COMPUTED	
sub-103	train	400.0	0.3968	0.355	0.7393	0.2282	0.0077	0.0	64.5	0.0795	1.3887	0.0	0.0	COMPUTED	
sub-105	test	400.0	0.267	0.2499	0.489	0.0436	0.0	0.0	61.03	0.0974	1.422	0.0	0.0	COMPUTED	
